column00,testGroup,device,browser,browserVersion,userAgent,users,newUsers,sessions,pis,acceleratedPis,addToCartEvents,creditcardPaymentEvent,paypalPaymentEvent,applepayPaymentEvent,conversions
591,Control,Mobile,Chrome,70.0.3538.110,"Mozilla/5.0 (Linux; Android 8.1.0; V1818A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
592,Control,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 12; V2037) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
593,SpeedKit,Mobile,Chrome,98.0.4758.101,"Mozilla/5.0 (Linux; Android 11; RMX2151) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
594,SpeedKit,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 13; CPH2341) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
595,SpeedKit,Mobile,Chrome,105,"Mozilla/5.0 (Linux; Android 10; MAR-LX1M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36",1,1,1,3,0,0,0,0,0,0
596,Control,Mobile,Chrome,98.0.4758.101,"Mozilla/5.0 (Linux; Android 9; SM-G955F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36",1,1,1,2,0,0,0,0,0,0
597,SpeedKit,Mobile,Chrome,87.0.4280.101,"Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
598,SpeedKit,Mobile,Chrome,80.0.3987.99,"Mozilla/5.0 (Linux; Android 10; TECNO KD7h) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.99 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
599,Control,Mobile,Chrome,89.0.4389.105,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G600FY) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
600,Control,Mobile,Chrome,103,"Mozilla/5.0 (Linux; Android 12; moto g(40) fusion) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
601,SpeedKit,Mobile,Chrome,116.0.5845.650,"Mozilla/5.0 (Linux; arm_64; Android 13; SM-G985F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.650 YaSearchBrowser/23.93.1 BroPP/1.0 YaSearchApp/23.93.1 webOmni SA/3 Mobile Safari/537.36",1,1,1,5,2,0,0,0,0,0
602,SpeedKit,Mobile,Chrome,105,"Mozilla/5.0 (Linux; Android 12; CPH2321) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36",2,2,2,5,3,0,0,0,0,0
603,Control,Mobile,Chrome,67.0.3396.87,"Mozilla/5.0 (Linux; Android 5.0; SM-N9005 Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Mobile Safari/537.36",1,1,1,2,0,0,0,0,0,0
604,SpeedKit,Mobile,Chrome,100.0.4896.79,"Mozilla/5.0 (Linux; Android 12; SM-A125U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.79 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
605,Control,Mobile,Chrome iOS,117.0.5938.117,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/117.0.5938.117 Mobile/15E148 Safari/604.1",398,258,579,1166,0,47,3,1,0,6
606,SpeedKit,Mobile,Chrome,109,"Mozilla/5.0 (Linux; Android 13; Pixel 6 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",9,6,12,28,13,0,0,0,0,0
607,SpeedKit,Desktop,Chrome,86.0.4240.80,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.80 Safari/537.36",553,552,553,568,8,0,0,0,0,0
608,SpeedKit,Desktop,Chrome,114,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",438,343,477,1208,297,6,3,0,0,3
609,SpeedKit,Mobile,Chrome iOS,98.0.4758.97,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/98.0.4758.97 Mobile/15E148 Safari/604.1",6,3,11,12,1,0,0,0,0,0
610,SpeedKit,Mobile,Chrome,97.0.4692.98,"Mozilla/5.0 (Linux; Android 12; CPH2333) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.98 Mobile Safari/537.36",1,0,1,3,2,0,0,0,0,0
611,SpeedKit,Robot,Chrome,113,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",21,21,21,21,0,0,0,0,0,0
612,SpeedKit,Mobile,Chrome,113,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36",1130,620,1409,2770,949,44,5,0,0,9
613,Control,Desktop,Edge,117,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.55",440,252,522,1499,2,89,17,3,0,13
614,Control,Mobile,Chrome,105,"Mozilla/5.0 (Linux; Android 12; itel S663L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36",1,1,1,3,0,0,0,0,0,0
615,Control,Mobile,Chrome,118,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36",184,101,232,482,2,22,1,0,0,1
616,Control,Desktop,Chrome,70.0.3538.102,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36",15,15,15,30,0,0,0,0,0,0
617,Control,Mobile,Chrome,99.0.4844.88,"Mozilla/5.0 (Linux; Android 12; M2103K19I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36",2,2,4,8,0,0,0,0,0,0
618,SpeedKit,Desktop,Safari,12.1.2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15",35,22,36,90,15,3,0,0,0,0
619,SpeedKit,Robot,Chrome,104,"Mozilla/5.0 (Linux; Android 13; 23021RAA2Y) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36",1,1,1,5,3,0,0,0,0,0
620,SpeedKit,Mobile,Chrome iOS,118.0.5993.58,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.58 Mobile/15E148 Safari/604.1",8,6,13,40,12,0,0,0,0,0
621,SpeedKit,Mobile,Chrome,117,"Mozilla/5.0 (Linux; Android 11; Wiko U316AT Build/RP1A.200720.011) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",1,1,2,5,1,0,0,0,0,0
622,SpeedKit,Desktop,Chrome,71.0.3578.98,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",12,12,12,24,2,0,0,0,0,0
623,Control,Desktop,Safari,14.0.2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",6,4,6,12,0,0,0,0,0,0
624,Control,Desktop,Chrome,114,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36",7,2,7,9,0,0,0,0,0,0
625,SpeedKit,Mobile,Chrome,96.0.4664.104,"Mozilla/5.0 (Linux; Android 12; SM-A536E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
626,Control,Mobile,Chrome,86.0.4240.185,"Mozilla/5.0 (Linux; Android 11; CPH2285) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.185 Mobile Safari/537.36",1,0,2,3,0,1,0,0,0,0
627,SpeedKit,Mobile,Chrome,96.0.4664.61,"Mozilla/5.0 (Linux; Android 12; SM-G975U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.61 Mobile Safari/537.36",5,2,5,10,1,0,0,0,0,0
628,SpeedKit,Mobile,Chrome,103,"Mozilla/5.0 (Linux; Android 12; SM-A326B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
629,SpeedKit,Mobile,Chrome,107,"Mozilla/5.0 (Linux; Android 12; M2007J17I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36",2,2,7,14,9,0,0,0,0,0
630,Control,Mobile,Chrome iOS,103.0.5060.63,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/103.0.5060.63 Mobile/15E148 Safari/604.1",14,10,17,52,0,4,0,2,0,2
631,Control,Mobile,Chrome,117,"Mozilla/5.0 (Linux; Android 10; 5002H_EEA Build/QKQ1.200623.002) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
632,SpeedKit,Mobile,Chrome,90.0.4430.210,"Mozilla/5.0 (Linux; Android 11; V2040) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.210 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
633,Control,Desktop,Chrome,83.0.4103.61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",6,6,6,6,0,0,0,0,0,0
634,Control,Robot,Chrome,113,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",59,59,59,59,0,0,0,0,0,0
635,SpeedKit,Mobile,Chrome,99.0.4844.88,"Mozilla/5.0 (Linux; Android 11; vivo 1906) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36",1,1,1,7,3,0,0,0,0,0
636,SpeedKit,Mobile,Chrome,87.0.4280.141,"Mozilla/5.0 (Linux; Android 11; SM-A105F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",3,3,3,3,0,0,0,0,0,0
637,SpeedKit,Tablet,Chrome iOS,116.0.5845.177,"Mozilla/5.0 (iPad; CPU OS 16_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/116.0.5845.177 Mobile/15E148 Safari/604.1",1,0,1,2,0,0,0,0,0,0
638,SpeedKit,Robot,Chrome,117.0.5938.88,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/117.0.5938.88 Safari/537.36",1,1,1,1,0,0,0,0,0,0
639,SpeedKit,Mobile,Chrome,94.0.4606.85,"Mozilla/5.0 (Linux; Android 11; RMX2050) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36",3,3,3,6,2,0,0,0,0,0
640,SpeedKit,Mobile,Chrome,106,"Mozilla/5.0 (Linux; Android 13; SM-A136U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",11,5,12,12,3,0,0,0,0,0
641,Control,Mobile,Chrome,117,"Mozilla/5.0 (Linux; Android 11; moto e20 Build/RONS31.267-94-14) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",9,7,9,30,0,2,1,0,0,1
642,SpeedKit,Mobile,Chrome,102,"Mozilla/5.0 (Linux; Android 9; CPH1859) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Mobile Safari/537.36",1,1,1,10,3,0,0,0,0,0
643,Control,Robot,Chrome,81.0.4044.138,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36",1,1,1,1,0,0,0,0,0,0
644,SpeedKit,Mobile,Chrome,109,"Mozilla/5.0 (Linux; Android 10; SM-A205U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",1,0,7,23,15,2,0,0,0,0
645,SpeedKit,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 11; en-gb; CPH1911 Build/RP1A.200720.011) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.1.1",1,1,2,8,6,0,0,0,0,0
646,SpeedKit,Mobile,Chrome iOS,93.0.4577.39,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/93.0.4577.39 Mobile/15E148 Safari/604.1",1,1,1,1,0,0,0,0,0,0
647,Control,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 13; en-in; CPH2363 Build/TP1A.220905.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.9.1",7,5,7,11,0,0,0,0,0,0
648,Control,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 13; en-gb; RMX3370 Build/TP1A.220905.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.9.1",3,3,3,4,0,0,0,0,0,0
649,SpeedKit,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 9; RMX1941) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",2,0,3,3,0,0,0,0,0,0
650,SpeedKit,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 13; en-gb; CPH2359 Build/TP1A.220905.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.9.1",1,1,1,1,0,0,0,0,0,0
651,Control,Mobile,Chrome,107,"Mozilla/5.0 (Linux; Android 11; 22031116AI) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36",1,0,3,5,0,0,0,0,0,0
652,Control,Mobile,Chrome,102,"Mozilla/5.0 (Linux; Android 11; AC2001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Mobile Safari/537.36",2,1,3,7,0,0,0,0,0,0
653,Control,Mobile,Chrome,106,"Mozilla/5.0 (Linux; Android 6.0.1; SM-N910C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",2,1,2,5,0,0,0,0,0,0
654,Control,Mobile,Chrome,93.0.4577.82,"Mozilla/5.0 (Linux; Android 11; SM-A217F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
655,SpeedKit,Mobile,Chrome,107,"Mozilla/5.0 (Linux; Android 8.1.0; Redmi Note 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
656,Control,Mobile,Chrome,96.0.4664.92,"Mozilla/5.0 (Linux; Android 10; RMX1827) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.92 Mobile Safari/537.36",1,1,1,3,0,0,0,0,0,0
657,SpeedKit,Mobile,Chrome,91.0.4472.114,"Mozilla/5.0 (Linux; Android 12; vivo 1909) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Mobile Safari/537.36",2,0,2,4,4,0,0,0,0,0
658,SpeedKit,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 10; RMX1801) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",2,0,2,3,0,0,0,0,0,0
659,Control,Tablet,Chrome iOS,110.0.5481.83,"Mozilla/5.0 (iPad; CPU OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/110.0.5481.83 Mobile/15E148 Safari/604.1",1,1,1,2,0,0,0,0,0,0
660,SpeedKit,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 13; en-us; CPH2527 Build/RKQ1.211119.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.10.2.3.1",1,0,1,1,1,1,0,0,0,0
661,SpeedKit,Mobile,Chrome,101,"Mozilla/5.0 (Linux; Android 10; RMX1827) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",1,1,2,3,1,0,0,0,0,0
662,SpeedKit,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 13; en-in; RMX3241 Build/TP1A.220905.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.3.9.1",1,1,1,2,0,0,0,0,0,0
663,Control,Mobile,Chrome,117,"Mozilla/5.0 (Linux; Android 12; 220733SFG Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Mobile Safari/537.36",2,1,2,4,0,0,0,0,0,0
664,SpeedKit,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 12; en-gb; CPH2035 Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.9.1",2,2,2,4,0,1,0,0,0,0
665,SpeedKit,Mobile,Chrome,81.0.4044.138,"Mozilla/5.0 (Linux; Android 8.1.0; Redmi Note 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
666,SpeedKit,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 12; en-us; CPH2035 Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.10.2.3.1",1,0,1,3,0,0,0,0,0,0
667,Control,Mobile,Chrome,109,"Mozilla/5.0 (Linux; Android 13; SM-M127F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
668,SpeedKit,Tablet,Chrome iOS,116.0.5845.177,"Mozilla/5.0 (iPad; CPU OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/116.0.5845.177 Mobile/15E148 Safari/604.1",1,1,1,1,0,0,0,0,0,0
669,SpeedKit,Robot,Chrome,114.0.0.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) adbeat.com/policy AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",4,4,4,12,7,0,0,0,0,0
670,SpeedKit,Mobile,Chrome iOS,106.0.5249.70,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/106.0.5249.70 Mobile/15E148 Safari/604.1",1,0,1,1,0,0,0,0,0,0
671,SpeedKit,Mobile,Chrome,105,"Mozilla/5.0 (Linux; Android 10; LM-K300) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
672,SpeedKit,Mobile,Chrome,97.0.4692.98,"Mozilla/5.0 (Linux; Android 11; CPH2223) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.98 Mobile Safari/537.36",1,0,1,1,1,0,0,0,0,0
673,SpeedKit,Robot,Edge,84.0.522.52,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36 Edg/84.0.522.52",2,2,2,2,0,0,0,0,0,0
674,SpeedKit,Mobile,Chrome,90.0.4430.93,"Mozilla/5.0 (Linux; Android 12) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
675,Control,Robot,Edge,83.0.478.61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36 Edg/83.0.478.61",1,1,1,1,0,0,0,0,0,0
676,SpeedKit,Mobile,Chrome,103,"Mozilla/5.0 (Linux; Android 10; CPH2179) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
677,SpeedKit,Mobile,Chrome,99.0.4844.88,"Mozilla/5.0 (Linux; Android 12; CPH2095) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36",1,0,2,2,1,0,0,0,0,0
678,Control,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 13; en-us; RMX3762 Build/TP1A.220624.014) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.4.9.1",2,2,2,2,0,0,0,0,0,0
679,Control,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 13; hi-in; CPH2495 Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.9.1",1,1,1,1,0,0,0,0,0,0
680,SpeedKit,Mobile,Chrome,107,"Mozilla/5.0 (Linux; Android 12; 21091116UI) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
681,Control,Mobile,Chrome,101,"Mozilla/5.0 (Linux; Android 11; M2003J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",1,1,1,3,0,0,0,0,0,0
682,SpeedKit,Mobile,Chrome,103,"Mozilla/5.0 (Linux; Android 8.1.0; SM-A260G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
683,Control,Mobile,Chrome,106,"Mozilla/5.0 (Linux; Android 12; RMX3081) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",2,0,4,5,0,0,0,0,0,0
684,Control,Desktop,Chrome,97.0.4692.71,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",1,0,1,1,0,0,0,0,0,0
685,Control,Mobile,Chrome,91.0.4472.88,"Mozilla/5.0 (Linux; U; Android 10; en-us; CPH1933 Build/QKQ1.200209.002) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/45.9.5.1.1",1,1,1,1,0,0,0,0,0,0
686,Control,Mobile,Chrome,103.0.5060.129,"Mozilla/5.0 (Linux; Android 11; en; Infinix X675 Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.129 HiBrowser/v2.9.3.4 UWS/ Mobile Safari/537.36",1,0,1,1,0,0,0,0,0,0
687,Control,Mobile,Chrome,104,"Mozilla/5.0 (Linux; Android 13; SM-M336BU) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
688,Control,Tablet,Chrome,106,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",1,1,1,5,0,0,0,0,0,0
689,Control,Mobile,Chrome iOS,87.0.4280.77,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/87.0.4280.77 Mobile/15E148 Safari/604.1",4,4,4,4,0,1,0,0,0,0
690,SpeedKit,Mobile,Chrome,99.0.4844.88,"Mozilla/5.0 (Linux; Android 12; SM-M015G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36",3,2,3,6,2,0,0,0,0,0
691,SpeedKit,Mobile,Chrome,81.0.4044.138,"Mozilla/5.0 (Linux; Android 10; SM-M307F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Mobile Safari/537.36",1,1,1,2,1,0,0,0,0,0
692,Control,Mobile,Chrome,116,"Mozilla/5.0 (Linux; Android 12; V2120 Build/SP1A.210812.003) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",2,2,2,3,0,0,0,0,0,0
693,SpeedKit,Mobile,Chrome,94.0.4606.85,"Mozilla/5.0 (Linux; Android 11; RMX2180) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36",3,2,7,8,0,0,0,0,0,0
694,SpeedKit,Mobile,Chrome,108,"Mozilla/5.0 (Linux; Android 13; RMX3521) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36",1,0,1,2,0,0,0,0,0,0
695,Control,Mobile,Chrome,81.0.4044.66,"Mozilla/5.0 (Linux; Android 13; RMX3761) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.66 Mobile Safari/537.36",1,1,1,1,0,0,0,0,0,0
696,SpeedKit,Robot,Chrome,96.0.4664.53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.53 Safari/537.36",1,1,1,1,0,0,0,0,0,0
697,SpeedKit,Robot,Edge,112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.0.0",6,6,6,6,0,0,0,0,0,0
698,SpeedKit,Mobile,Chrome,101,"Mozilla/5.0 (Linux; Android 10; POCO M2 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",1,0,1,1,1,0,0,0,0,0
